title,count,percent
Conflict Handling in Product Configuration using Answer Set Programming.,1,0.19607843137254902
LLM+Reasoning+Planning for supporting incomplete user queries in presence of APIs.,1,0.19607843137254902
Neuro-Symbolic Agent with ASP for Robust Exception Learning in Text-Based Games.,1,0.19607843137254902
Causes for Changing Profiles (Preliminary Report).,1,0.19607843137254902
Prolog Coding Guidelines: Status and Tool Support.,1,0.19607843137254902
An LLM + ASP Workflow for Joint Entity-Relation Extraction.,1,0.19607843137254902
Comprehensive Multi-Agent Epistemic Planning.,1,0.19607843137254902
Constraint CNF: SAT and CSP Language Under One Roof.,1,0.19607843137254902
A Scalable Approach to Probabilistic Compliance in Declarative Process Mining.,1,0.19607843137254902
Reasoning in SHIQ with Axiom- and Concept-Level Standpoint Modalities.,1,0.19607843137254902
Bringing Logic Programming to primary school: a teacher training course.,1,0.19607843137254902
On the Strong Equivalences of LPMLN Programs.,1,0.19607843137254902
Pruning with Belief Traps in Multi-agent Epistemic Planning.,1,0.19607843137254902
Deontic Paradoxes in ASP with Weak Constraints.,1,0.19607843137254902
"Joint Proceedings of the Joint Workshop on Knowledge Diversity and Cognitive Aspects of KR and the Workshop on Symbolic and Neuro-Symbolic Architectures for Intelligent Robotics Technology (KoDis-CAKR-SYNERGY 2024) co-located with the 21st International Conference on Principles of Knowledge Representation and Reasoning (KR 2024), Hanoi, Vietnam, November 2-8, 2024.",1,0.19607843137254902
Guarded Fragments Meet Dynamic Logic: The Story of Regular Guards.,1,0.19607843137254902
Correct Causal Inference in Probabilistic Logic Programming.,1,0.19607843137254902
Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,1,0.19607843137254902
Cost-Based Semantics for Querying Inconsistent Weighted Knowledge Bases.,1,0.19607843137254902
A Hitchhiker&apos;s Guide to Reinventing a Prolog Machine.,1,0.19607843137254902
Agentified Argumentative Learning (short paper).,1,0.19607843137254902
Leveraging Decision-DNNF Compilation for Enumerating Disjoint Partial Models.,1,0.19607843137254902
"Proceedings 35th International Conference on Logic Programming (Technical Communications), ICLP 2019 Technical Communications, Las Cruces, NM, USA, September 20-25, 2019.",1,0.19607843137254902
Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,1,0.19607843137254902
The Sticky Path to Expressive Querying: Decidability of Navigational Queries under Existential Rules.,1,0.19607843137254902
Diagnosis for Post Concept Drift Decision Trees Repair.,1,0.19607843137254902
Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,1,0.19607843137254902
Capturing Non-flat Assumption-based Argumentation with Bipolar SETAFs.,1,0.19607843137254902
